bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,224.0,0.00039811663062239193,0.2,21.192599692776753,3227.866637491281,41.120555758371744,0.7721771001815796,8585.96056342125
2,192.0,0.0004180290899959113,0.5,20.281494515330735,3187.50541146527,32.31397375963078,0.7913450002670288,8177.158262968063
3,96.0,0.0005156360770842269,0.2,20.435455686651416,2467.5230733864655,39.22968852762307,0.7881650924682617,7616.412974357605
4,96.0,0.0004418274184152942,0.4,22.935806253456487,7114.4426837045985,43.66152738719013,0.7331563234329224,7222.857605934143
5,192.0,0.0008855060671538399,0.2,24.74251805510165,8668.226506994308,39.12124951116899,0.6894606351852417,7691.773983001709
6,128.0,0.003949119649941496,0.30000000000000004,20.543207550546818,2610.8957127288804,38.118621409953036,0.7859252691268921,9136.194123268127
7,160.0,0.002729141553747072,0.5,20.391612015144165,2906.03392762242,42.33671292214034,0.78907310962677,8254.073180913925
8,160.0,0.0005625474384589585,0.4,24.407704172027707,6778.594762479228,38.71932906748927,0.6978081464767456,8372.287093162537
9,128.0,0.00028436308306141255,0.30000000000000004,21.109898332706095,3562.4016490468193,41.58477001744808,0.7739517688751221,7599.927131891251
10,96.0,0.0002735656142568244,0.4,22.346661742095282,4634.856828523032,45.94967068173704,0.746688961982727,7750.200322151184
