bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,224.0,0.0001,0.5,21.182051866829674,2447.5963922514748,49.01399646927875,0.7724038362503052,6149.904378414154
2,160.0,0.0018,0.30000000000000004,18.2588546383687,1944.3609992387837,32.96909917183131,0.8308874368667603,3546.273007631302
3,160.0,0.0006,0.4,20.853353824328984,2706.3739229257817,44.58237975593627,0.7794126272201538,4508.828725337982
4,224.0,0.0046,0.30000000000000004,24.530914109961586,4475.710699628667,46.549596762469825,0.6947495341300964,5135.508701086044
5,96.0,0.0004,0.30000000000000004,19.50722115643573,1932.3136598667581,32.548754055040014,0.8069722652435303,6542.391069173813
6,128.0,0.0082,0.2,20.119075305841204,1789.0678547481089,32.61108295208404,0.7946735620498657,6406.086108207703
7,224.0,0.0002,0.30000000000000004,20.055401173024126,2533.608262213573,36.5950736616513,0.795971155166626,6607.678177595139
8,192.0,0.002,0.2,24.58467882860113,4074.140478446361,41.392281712575205,0.6934100389480591,5361.89359998703
9,64.0,0.0015,0.2,20.399806362055866,3007.2247298899515,43.010795194997584,0.788903534412384,4436.183119297028
10,128.0,0.001,0.4,21.518146752181924,2716.263530669689,43.88444305340554,0.7651240229606628,4486.278730630875
