bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,256.0,0.00637,0.4,25.96290250826196,5360.101899953608,89.3864272163255,0.6351196765899658,825.6168742179871
2,256.0,0.00637,0.2,22.34079707705595,4400.675391381916,60.13748055033664,0.7298274040222168,739.4503092765808
3,256.0,0.00637,0.1,23.040571772544197,5473.415153328089,58.30572283447103,0.7126373052597046,797.9188959598541
4,256.0,0.00189,0.4,21.477681259480086,3541.35735720567,45.35706335919681,0.750299870967865,731.6287543773651
5,256.0,0.00189,0.2,20.567454117583175,3268.0173908932884,36.740564367609444,0.7710160613059998,741.3841981887817
6,256.0,0.00189,0.1,19.756444459205678,2809.8931631016185,37.0956694810747,0.7887184619903564,747.4957120418549
7,256.0,0.00125,0.4,21.085246670721926,3856.6626101314955,44.44273664462605,0.7593414187431335,785.3599021434784
8,256.0,0.00125,0.2,20.897775558563765,3492.4090493472936,42.63257531281223,0.7636018991470337,749.2751195430756
9,256.0,0.00125,0.1,22.518104472342944,4729.719583852279,44.82830275181343,0.725521981716156,991.2875752449036
10,256.0,0.00062,0.4,21.290039144619232,3393.9318906750955,52.792987783973835,0.7546439170837402,729.4842426776886
11,256.0,0.00062,0.2,21.254142096021802,3919.2028333801245,51.28208604605844,0.7554705739021301,699.3959269523621
12,256.0,0.00062,0.1,20.786443082287775,3557.215915530541,43.753997606884845,0.7661139965057373,751.8548684120178
13,256.0,0.00049,0.4,25.061520489960692,27331.563653209698,52.10301869203357,0.6600158214569092,659.2435810565948
14,256.0,0.00049,0.2,21.46218058282067,4001.180406545601,46.66277472202512,0.7506601810455322,734.3975613117218
15,256.0,0.00049,0.1,21.158278352007656,3796.4454355719145,47.58089011413959,0.7576714754104614,813.4213554859161
16,256.0,0.00048,0.4,21.099180250700652,3232.8221008525134,47.60038189119509,0.7590233087539673,737.4352531433105
17,256.0,0.00048,0.2,21.163034115622143,3480.7460582489116,50.004023824673894,0.757562518119812,732.5091891288757
18,256.0,0.00048,0.1,20.967070263039005,3831.01622141919,46.8123767716412,0.7620315551757812,825.193243265152
19,256.0,0.00046,0.4,21.972833324980478,4292.231954137793,54.15199336019465,0.7386538982391357,1032.6252369880676
20,256.0,0.00046,0.2,20.37207965488384,3150.307013353799,46.762754931540314,0.7753457427024841,1037.097549200058
21,256.0,0.00046,0.1,19.901850473061785,3009.6931822442166,37.342498406684626,0.7855969667434692,1033.8360328674316
22,256.0,0.00028,0.4,20.36797734447053,3172.1541233797634,44.88491788880431,0.7754361629486084,1073.230387687683
23,256.0,0.00028,0.2,20.927527638033734,3896.844689781279,45.39134765049811,0.7629282474517822,899.8403527736664
24,256.0,0.00028,0.1,20.442978338430738,2954.7664368820288,43.21439018127318,0.7737793326377869,845.8662600517273
25,224.0,0.00637,0.4,24.369709963904953,7343.87222216452,68.96326607455202,0.6785268783569336,713.0300822257996
26,224.0,0.00637,0.2,23.42047869087326,6181.100308562212,57.88879451033148,0.7030826807022095,706.4103124141693
27,224.0,0.00637,0.1,20.784792524880356,2731.7280225134937,50.7463527265543,0.7661510705947876,724.2348244190216
28,224.0,0.00189,0.4,20.75716498741711,3505.4837630313395,42.28553882316757,0.7667723894119263,754.9658629894257
29,224.0,0.00189,0.2,21.45667736397026,3446.863237017575,40.01414828595763,0.7507880330085754,786.1608440876007
30,224.0,0.00189,0.1,20.132091666749528,2634.2053311822233,38.44162251735093,0.7806075215339661,760.9389579296112
31,224.0,0.00125,0.4,20.645699790102,3839.420882663075,40.86879934726955,0.7692704796791077,731.0018949508667
32,224.0,0.00125,0.2,21.624643080867774,4379.0264405337075,45.76813607361024,0.7468710541725159,750.4636318683624
33,224.0,0.00125,0.1,20.79921732792933,3551.0022259777506,42.79994516256568,0.765826404094696,747.4880003929138
34,224.0,0.00062,0.4,21.258754414594733,3704.0643753374015,48.98441141106491,0.7553644180297852,742.4610683917999
35,224.0,0.00062,0.2,21.030316607792127,3504.5468949937476,48.880446441254826,0.7605937123298645,651.0106749534607
36,224.0,0.00062,0.1,20.236370130564517,3363.487188279411,44.282939838917805,0.7783288359642029,705.2534902095795
37,224.0,0.00049,0.4,21.32640253076132,3308.335065013344,50.03599201169195,0.7538050413131714,680.9934170246124
38,224.0,0.00049,0.2,21.373424362235696,3885.9520123394436,50.25015409725832,0.7527182102203369,691.3238604068756
39,224.0,0.00049,0.1,23.25235449049645,49363.898796943075,47.7823392195457,0.7073302268981934,755.5544443130493
40,224.0,0.00048,0.4,22.107141788238085,4030.354011781643,59.17459403479326,0.7354491949081421,745.6392827033997
41,224.0,0.00048,0.2,21.035914692233554,3525.1921896638373,43.82398432349613,0.7604662179946899,665.1840212345123
42,224.0,0.00048,0.1,21.017906682473317,3827.516792893252,39.95024548389948,0.7608761787414551,718.5610909461975
43,224.0,0.00046,0.4,20.679537443213075,3916.739744357994,43.240878453457654,0.768513560295105,644.8041410446167
44,224.0,0.00046,0.2,25.511034121748,18338.238940944706,51.13789856243163,0.6477102041244507,976.9221792221069
45,224.0,0.00046,0.1,19.41109646932311,2756.900584643313,40.010460518738505,0.796040415763855,929.7515676021576
46,224.0,0.00028,0.4,20.85018371383028,3350.096580247433,49.45885556464916,0.7646774053573608,957.755453824997
47,224.0,0.00028,0.2,21.03721373122578,3566.3181694948025,47.1712452063959,0.7604366540908813,879.5390701293945
48,224.0,0.00028,0.1,20.125446708336973,2957.4381227248036,43.42435795868852,0.7807523608207703,885.4438848495483
49,192.0,0.00637,0.4,24.541449408299354,5895.889659389316,63.28356925458165,0.6739798784255981,741.595267534256
50,192.0,0.00637,0.2,23.25897648854314,5056.188418366979,62.08220062040745,0.7071635723114014,683.9749553203583
51,192.0,0.00637,0.1,24.556495372069445,7072.547271327932,62.00088697999252,0.6735800504684448,685.6971592903137
52,192.0,0.00189,0.4,22.91216799901324,7361.122159594513,45.37121660390848,0.7158312797546387,673.7015423774719
53,192.0,0.00189,0.2,19.35358039186238,2697.0472249552713,37.353255970234926,0.7972473502159119,657.3916153907776
54,192.0,0.00189,0.1,19.28559169499973,2398.942134965321,36.72632184016414,0.7986693382263184,707.8290529251099
55,192.0,0.00125,0.4,20.21322517699091,3327.746840420262,42.20897330053742,0.778835654258728,643.1387944221497
56,192.0,0.00125,0.2,21.649501151502477,4074.0827090079274,43.852394005955794,0.7462887763977051,587.075501203537
57,192.0,0.00125,0.1,20.695674159095464,3356.8104397525767,39.360141186296985,0.768152117729187,625.497720003128
58,192.0,0.00062,0.4,22.086044837008235,4411.702049733008,53.54990705193686,0.7359538674354553,606.4313666820526
59,192.0,0.00062,0.2,21.368244634772815,3786.2393755374655,39.64861205959784,0.7528380155563354,674.4456343650818
60,192.0,0.00062,0.1,21.681397218860972,4100.9158594570945,50.91870679202566,0.7455406188964844,663.3837909698486
61,192.0,0.00049,0.4,20.02031623676246,2733.143591261693,40.583362974424915,0.7830369472503662,608.7311570644379
62,192.0,0.00049,0.2,20.93228058072696,3053.73552097473,42.95426906583648,0.7628206014633179,616.4543988704681
63,192.0,0.00049,0.1,19.72065152847504,2695.9516240328385,39.22732004036815,0.7894833087921143,596.9859302043915
64,192.0,0.00048,0.4,19.330049714431407,2699.2622321647586,38.94466947247627,0.7977400422096252,694.5317566394806
65,192.0,0.00048,0.2,32.488122309223414,325207.7540561783,47.02978863182107,0.42866194248199463,634.9148969650269
66,192.0,0.00048,0.1,20.29612184259273,3438.5880976339267,41.92454839889018,0.7770178914070129,579.5657794475555
67,192.0,0.00046,0.4,21.98375303991035,38348.79523294606,44.16940233000195,0.738394021987915,593.4177961349487
68,192.0,0.00046,0.2,19.551314587111786,2600.3075832271606,37.12185326094743,0.793083131313324,569.3567085266113
69,192.0,0.00046,0.1,21.30438845410296,3740.2523181348497,38.64374871465193,0.754313051700592,619.4143319129944
70,192.0,0.00028,0.4,19.927331168820892,2659.281753774725,41.03373373129232,0.7850476503372192,595.7581176757812
71,192.0,0.00028,0.2,21.313039020031955,4107.184555292672,45.817011793485726,0.754113495349884,633.1094341278076
72,192.0,0.00028,0.1,21.05212901537447,3766.4987930743946,44.10266529269554,0.7600968480110168,622.7486925125122
73,128.0,0.00637,0.4,21.77732122844148,3906.385917958513,54.44404463821419,0.7432841062545776,415.6604218482971
74,128.0,0.00637,0.2,19.847922470394252,2426.5266640489226,42.56135774044558,0.7867573499679565,419.5829918384552
75,128.0,0.00637,0.1,20.684768693299738,2530.25743666327,40.541958458677435,0.7683964371681213,448.1017804145813
76,128.0,0.00189,0.4,19.924585772812048,3011.3404861389845,43.343050193699824,0.785106897354126,482.24441623687744
77,128.0,0.00189,0.2,20.41921181770668,2835.012315606109,41.3911296924083,0.7743050456047058,427.7477777004242
78,128.0,0.00189,0.1,29.52833354560207,93278.8347123596,40.51140342963215,0.5280219316482544,388.9672420024872
79,128.0,0.00125,0.4,21.4059793074107,3605.158555217641,48.21345580181376,0.7519643306732178,427.64034271240234
80,128.0,0.00125,0.2,20.46336299877125,3180.9069236963223,40.745213109344185,0.7733279466629028,422.03204250335693
81,128.0,0.00125,0.1,21.595871393935496,3785.7018171788172,48.22800795522626,0.7475441694259644,397.6907060146332
82,128.0,0.00062,0.4,20.476141981989326,3802.632124755033,42.13089080093328,0.773044764995575,401.53265380859375
83,128.0,0.00062,0.2,19.832265169412207,3181.872150745077,40.40308648163858,0.7870936393737793,399.6475336551666
84,128.0,0.00062,0.1,19.329879118946103,2766.9968300591854,39.006609312052355,0.7977436184883118,385.0546004772186
85,128.0,0.00049,0.4,19.79144682042823,2898.7849912324455,38.938335008348204,0.787969172000885,390.71903896331787
86,128.0,0.00049,0.2,20.55891436880653,3299.756772495997,43.852923004535235,0.7712062001228333,355.6221899986267
87,128.0,0.00049,0.1,19.66281325346608,2734.9939266253486,37.850903119974475,0.7907164096832275,376.24740743637085
88,128.0,0.00048,0.4,20.411819973434703,3183.8286561789405,40.53262921869688,0.7744684219360352,419.571284532547
89,128.0,0.00048,0.2,18.83212683143174,2499.1165583220463,34.880206381625435,0.8080258965492249,399.2034635543823
90,128.0,0.00048,0.1,20.438078210498997,3796.054019831298,37.23124871969134,0.7738877534866333,392.3060085773468
91,128.0,0.00046,0.4,19.450091530365782,2798.267758184469,39.07114611722578,0.795220136642456,361.3016662597656
92,128.0,0.00046,0.2,20.2264796671986,3240.939324517977,41.77304710674079,0.7785454988479614,370.46777534484863
93,128.0,0.00046,0.1,20.53585285883324,3392.9643737576002,41.25949474869913,0.771719217300415,387.7359628677368
94,128.0,0.00028,0.4,23.19412663558753,7313.516723410957,50.131300041976324,0.7087942361831665,365.3780403137207
95,128.0,0.00028,0.2,21.097518263991866,4250.858457247734,48.97873945431381,0.7590612173080444,390.6856029033661
96,128.0,0.00028,0.1,21.1049503891813,4442.263515998868,46.42625554097206,0.7588914632797241,379.2408742904663
97,96.0,0.00637,0.4,21.25852344219759,3043.571928473657,49.648271190769755,0.7553697824478149,337.113032579422
98,96.0,0.00637,0.2,19.464978477859304,2457.0191407061047,38.8737508162412,0.7949065566062927,324.5267827510834
