bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,160.0,0.00192,0.1,21.24223778267311,4072.3721220594416,38.9475147717348,0.755744457244873,9993.432941675186
2,96.0,0.00503,0.30000000000000004,20.269195124525634,2051.2195454968887,39.397092478382554,0.77760910987854,9308.439400911331
3,224.0,0.00161,0.4,21.81408021116142,3442.541382770826,44.45075134439766,0.7424166798591614,13752.29280948639
4,64.0,0.00454,0.2,19.290976768115417,1887.9148860269463,34.58034408822176,0.798556923866272,8728.311821460724
5,128.0,0.0007,0.30000000000000004,18.40678967136473,1795.0098207675305,39.615382244360944,0.8165997266769409,10403.370873689651
6,192.0,0.00301,0.2,20.349741251282303,2754.5054382231574,46.23421169392971,0.7758381366729736,11067.548718214035
7,96.0,0.00162,0.1,21.16021574144766,2495.8008413038833,38.05453183607865,0.7576270699501038,10243.423901081085
8,96.0,0.00105,0.30000000000000004,20.17319494253335,2683.3695922763286,43.10811654104795,0.7797107696533203,10725.519256591797
9,64.0,0.00065,0.2,19.137896010813286,2280.7615656148873,37.78972491223644,0.8017412424087524,10569.339391946793
10,160.0,0.00036,0.4,20.683890681886577,2472.612382338493,44.206297662447774,0.7684160470962524,10011.955335855484
