bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,96.0,0.00063,0.30000000000000004,20.979711995870858,2860.4506911174885,47.09875044660842,0.7767312526702881,5107.492249727249
2,224.0,0.00067,0.4,21.430902205365445,2864.3412551081215,31.993061661217688,0.7670247554779053,6224.004309892654
3,32.0,0.00768,0.4,21.364735776846228,2609.4763489681773,51.23353154604433,0.7684611082077026,4602.941152334213
4,64.0,0.00486,0.1,21.49466940867622,2825.800179035249,41.690323307637016,0.7656362652778625,5412.700162887573
5,128.0,0.00893,0.4,24.36415022951242,2756.7264722391665,47.91175679845915,0.6988856792449951,6673.513382911682
6,64.0,0.007,0.30000000000000004,18.659540087561023,1548.8062628419023,38.57057886979111,0.8233836889266968,5040.677140235901
7,96.0,0.00063,0.4,20.1791483607325,2524.2027116415793,33.91572945826973,0.7934455871582031,6474.120813369751
8,64.0,0.00156,0.30000000000000004,20.899518079540286,2768.2441026024912,38.58241066120659,0.7784348726272583,6043.36033987999
9,224.0,0.00221,0.4,20.33747563093961,2799.730883901014,37.31940995886806,0.7901915311813354,6720.393760442734
10,160.0,0.00194,0.2,23.618641153989735,5143.972751333515,39.311913162780876,0.7170311212539673,7121.9808485507965
