bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,128.0,0.00042375115464770484,0.2,20.670161700305997,2928.592975537392,42.31421272837555,0.7832711935043335,8659.175816774368
2,64.0,0.002710058494979756,0.30000000000000004,19.219015972499005,2339.965747843319,39.643498275475636,0.8126338124275208,6006.743439912796
3,96.0,0.00786100326245034,0.30000000000000004,26.963378937198087,4486.329021291867,72.22107725195117,0.6312114000320435,6803.911091089249
4,32.0,0.009319032272842613,0.2,24.682412697749612,4650.272193356877,54.854781900417784,0.6909675598144531,7151.244838953018
5,192.0,0.0005461929882141129,0.4,29.84231733308581,64322.917861057766,47.80868072183954,0.5482543706893921,8219.218993902206
6,256.0,0.00512957920930462,0.2,24.819507137941166,3808.4875699908293,44.493680952869404,0.6875250339508057,9833.406656503677
7,256.0,0.00030966973084768147,0.30000000000000004,19.726480507255342,2778.8641136996102,34.116380631830324,0.8026086688041687,10360.04485297203
8,96.0,0.0030738018627523736,0.1,23.85753564046248,4831.900606567342,41.95587548523946,0.7112779021263123,7832.0952315330505
9,32.0,0.0005363273097368672,0.30000000000000004,23.625455983116098,5070.622077852506,53.17563432619339,0.7168678045272827,6957.782756328583
10,32.0,0.007371292609532682,0.30000000000000004,20.78319348877349,2604.7212329970453,49.678641945263415,0.78089439868927,7177.17921090126


