bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,96.0,0.00287,0.4,20.145451928374243,3442.648793673754,37.13041157833703,0.794134795665741,7234.458576917648
2,128.0,0.00052,0.5,21.09774195444081,2675.3905398089973,38.031307161211274,0.7742120027542114,9405.991650819778
3,96.0,0.00036,0.3,20.8374262743803,3069.8110178712686,37.73006480623536,0.7797494530677795,7234.071983575821
4,96.0,0.00037,0.2,19.02101900052569,1927.739043512045,32.147998875221894,0.8164744973182678,7276.8216009140015
5,96.0,0.00052,0.5,20.055226180922737,3187.3551986005714,32.76336045832837,0.7959747314453125,7228.686847686768
6,224.0,0.00287,0.2,21.337844053867943,2926.2662568358032,45.01640099349188,0.7690436244010925,7356.156337738037
7,96.0,0.00036,0.4,20.55160725566289,1907.6548561556256,37.804077766992016,0.785750150680542,6558.421167612076
8,224.0,0.00036,0.2,21.266154532808258,3224.0205555465723,39.526860410223286,0.7705929279327393,6864.149282455444
9,128.0,0.00052,0.5,21.96907436082559,3300.5692338962435,39.90252356258897,0.7551769018173218,6458.534403324127
10,224.0,0.00037,0.3,18.03136931963337,1750.203368442313,29.284430578739773,0.8350750803947449,7889.133006572723
