bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,224.0,0.00036,0.30000000000000004,21.410562835379512,3470.4817328452145,42.7916870552565,0.7674667835235596,9508.353327274323
2,96.0,0.00112,0.4,22.629736641612734,3097.5479138757573,36.51854740566866,0.7402306795120239,7107.2362558841705
3,224.0,0.00081,0.2,21.967122567076306,8840.699482822616,46.73602471501741,0.7552204132080078,7330.091905593872
4,128.0,0.00287,0.5,21.18974179811314,3101.861743170195,44.67624630468852,0.772238552570343,5785.338831424713
5,32.0,0.00315,0.5,20.532125468872707,2193.0545117404217,48.42041294632472,0.786156177520752,6523.990117311478
6,224.0,0.00028,0.1,19.340866638143524,2528.684002504766,36.256394347837954,0.810250461101532,9698.479891061783
7,128.0,0.00052,0.5,19.60924349432996,2633.8663252180013,39.354624122881866,0.8049479722976685,7318.485507488251
8,128.0,0.00097,0.4,25.278892378867074,5225.355663475834,52.92856486934635,0.6758507490158081,7469.927664518356
9,192.0,0.00037,0.5,19.998200907851217,3266.157589992113,36.140145980474706,0.7971333265304565,9011.962847232819
10,96.0,0.00421,0.2,28.65816791734786,12697.554962178725,45.55050176633903,0.5833938121795654,7413.491635799408
