bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,224.0,0.00287,0.5,20.80377046447678,3395.50333944625,48.04521837467965,0.7804603576660156,883.6695721149445
2,224.0,0.00287,0.4,20.055898322014496,2445.5029147077266,37.76300789376636,0.7959610223770142,861.8065586090088
3,224.0,0.00287,0.3,19.77451859645025,2248.9132619423485,36.308786816604666,0.8016461133956909,859.3454535007477
4,224.0,0.00287,0.2,21.748003870396655,2981.791926973271,36.88237391564093,0.7600793242454529,883.9884030818939
5,224.0,0.00052,0.5,19.45408553117671,2511.7399500080087,39.729598589474186,0.8080223798751831,826.0844016075134
6,224.0,0.00052,0.4,30.254010506219785,44683.23454825593,40.46886049865349,0.5357041954994202,833.737954378128
7,224.0,0.00052,0.3,18.941323294778773,1880.1615936559049,40.26104686181515,0.8180091977119446,827.4300618171692
8,224.0,0.00052,0.2,20.36812944015346,2361.178479429037,35.35317453000887,0.7895585894584656,788.6823825836182
9,224.0,0.00036,0.5,18.839684117109943,1774.084902692652,35.93508759909061,0.8199570775032043,776.1961410045624
10,224.0,0.00036,0.4,19.25687991803435,1711.4553108224864,32.38687719843251,0.8118948340415955,784.8075528144836
11,224.0,0.00036,0.3,20.547036478128025,3024.7050347561853,31.26675984232335,0.7858455181121826,783.9825134277344
12,224.0,0.00036,0.2,18.076881191167146,1573.7417505947883,32.55573942831234,0.834241509437561,795.3316218852997
13,128.0,0.00287,0.5,24.52916590219704,6779.518534606557,41.49714670534279,0.6947931051254272,512.3143446445465
14,128.0,0.00287,0.4,23.829144624399152,6275.28439407333,36.46686615570063,0.7119646668434143,512.5862016677856
15,128.0,0.00287,0.3,24.002364409662945,4586.965466078618,35.848510579179866,0.707761824131012,511.4696238040924
16,128.0,0.00287,0.2,19.10955655800313,1878.0556808656502,31.166924233859543,0.8147619962692261,511.7397301197052
17,128.0,0.00052,0.5,17.528004324295953,1444.6267219779888,29.479151242498286,0.8441546559333801,511.5283889770508
18,128.0,0.00052,0.4,21.904788374069568,3793.9005750811943,33.52522302400652,0.7566076517105103,514.836755990982
19,128.0,0.00052,0.3,19.612111037224647,3100.649742177735,31.33327861514556,0.8048908710479736,545.6166937351227
20,128.0,0.00052,0.2,17.690465793022604,1366.1124015498513,28.80640688810303,0.841252326965332,518.9931371212006
21,128.0,0.00036,0.5,19.667160437475346,1992.061703779424,32.560494533730214,0.8037940263748169,516.9454085826874
22,128.0,0.00036,0.4,19.09601215696565,1909.2403740365867,31.572687257254955,0.8150244951248169,514.6772294044495
23,128.0,0.00036,0.3,19.398349622126563,2055.9979336019474,37.355185338099766,0.8091208934783936,531.218327999115
24,128.0,0.00036,0.2,19.98420275187404,2335.71902489872,38.00738150354672,0.7974172234535217,515.3437213897705
25,96.0,0.00287,0.5,18.987678306051997,7583.359001116749,36.42015483389701,0.8171173334121704,476.4016740322113
26,96.0,0.00287,0.4,19.103846889814303,2349.259950543049,38.02735123346421,0.814872682094574,476.8875172138214
27,96.0,0.00287,0.3,18.243492551186975,1809.7714061178117,36.60636864785027,0.8311718702316284,478.5335395336151
28,96.0,0.00287,0.2,25.650994921446106,16279.016883799735,36.592431062681236,0.6662377119064331,477.05741000175476
29,96.0,0.00052,0.5,19.329778654613325,1986.8440611202002,37.13998386459313,0.8104679584503174,479.6204779148102
30,96.0,0.00052,0.4,18.072736691969787,1606.258137042798,33.64815066894318,0.8343174457550049,477.9117934703827
31,96.0,0.00052,0.3,19.030661151696837,1725.2389054890364,30.9482826705539,0.8162883520126343,574.8227670192719
32,96.0,0.00052,0.2,19.480388374083443,3565.844855879234,30.068795204548692,0.8075029850006104,561.6012768745422
33,96.0,0.00036,0.5,19.45108386987716,2091.977578925733,36.04749549754052,0.8080816864967346,554.0322058200836
34,96.0,0.00036,0.4,25.30647380959132,199978.60627434682,33.57988875803501,0.6751430630683899,542.6702566146851
35,96.0,0.00036,0.3,18.5711307104891,1782.714908907723,33.11739667322413,0.8250533938407898,534.3398756980896
36,96.0,0.00036,0.2,18.71885368388601,2245.940425899644,33.530500837336454,0.8222591280937195,526.5383191108704
