bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,32.0,0.0005593705781614,0.2,20.386784240769497,2149.558475746113,40.14966675843341,0.7891729474067688,2605.3952934741974
2,192.0,0.0005593705781614,0.3,21.925842143711094,4234.077972091067,42.02620041791702,0.7561395168304443,3694.2133984565735
3,96.0,0.0012650106908168,0.3,20.172253215857854,3638.376137876033,37.64865345914952,0.7935867309570312,2887.300773859024
4,96.0,0.0020075335684137,0.3,23.405435097212862,3658.938335343582,42.662513922071575,0.7221168279647827,3684.3684537410736
5,224.0,0.0012650106908168,0.4,19.692356636830173,2202.142236444668,44.91337832248601,0.8032909631729126,4051.683473587036
6,192.0,0.0010396752821349,0.3,21.303934025913353,2998.092970787269,45.37590467579135,0.7697771191596985,3984.8662321567535
7,224.0,0.0010396752821349,0.3,21.796653784719744,2935.2244301586825,41.91784706191209,0.7590047121047974,4819.06380033493
8,128.0,0.0010396752821349,0.4,20.141056834489998,3290.74940216887,38.73309171658302,0.7942246198654175,2907.969363451004
9,224.0,0.0005593705781614,0.4,21.495179101588686,3760.844741709666,36.4379666281369,0.7656251192092896,4431.820550918579
10,192.0,0.0012650106908168,0.4,22.90834025464648,7106.405849688582,30.103943649466817,0.7337950468063354,3585.490553855896
