bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,128.0,0.0012650106908168627,0.2,20.366472765077045,3132.465190058191,40.432798043126056,0.7895928621292114,2451.267728805542
2,64.0,0.007053947304912309,0.1,18.121296260859157,1612.789850143029,30.75393018393028,0.8334259390830994,1759.5257725715637
3,224.0,0.00024444189254664854,0.5,21.831522082651784,3509.966813246129,44.89946482021661,0.7582330703735352,2427.608999490738
4,96.0,0.00200753356841378,0.2,20.453562919060932,2393.084604781481,37.38307458532882,0.787789523601532,1789.2265572547913
5,192.0,0.00016969082777866295,0.30000000000000004,20.669240401603947,2665.102323796753,36.56478527363291,0.7832905054092407,2195.9044280052185
6,160.0,0.0005011119611225394,0.30000000000000004,19.053071438747086,2063.4390910357056,31.749692603627555,0.8158554434776306,2187.686555147171
7,64.0,0.0010396752821349195,0.2,20.79187639496343,3973.740274093831,39.48203683837338,0.78071129322052,1506.7749450206757
8,224.0,0.00031272722647194873,0.30000000000000004,23.001069417223572,3744.857833901949,38.40990966853964,0.731635570526123,2115.3081595897675
9,64.0,0.0005755201671102083,0.2,19.604781116527498,2148.7322195437728,39.21889587018966,0.805036723613739,2272.0631787776947
10,32.0,0.0005593705781614748,0.4,21.924279731568078,2825.6333595458127,55.46474980802268,0.7561742663383484,2363.5568397045135
