bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,64.0,0.00733,0.3,19.21746534070229,2217.853192339474,38.554596869688204,0.8126640319824219,7603.096924066544
2,96.0,0.00033,0.5,21.99608507869213,2992.50618459598,34.42779848469487,0.7545745372772217,7799.639036178589
3,192.0,0.00033,0.1,20.125359383922348,3083.4338688228167,33.9265595697701,0.7945452928543091,10057.399627685547
4,160.0,0.00055,0.1,19.50425478170965,2247.5474849355232,32.26556096639746,0.807030975818634,8327.499047756195
5,192.0,0.00029,0.4,21.679536176273682,4053.279207950856,37.05922893617735,0.7615876197814941,7752.327768802643
6,64.0,0.00733,0.3,20.515540210696834,2820.2189041705437,45.03210218636465,0.7865015268325806,7064.63494515419
7,64.0,0.00733,0.4,18.887102907804575,1767.1238626366385,38.50314706205786,0.819049596786499,5892.743721246719
8,160.0,0.00033,0.4,19.5721548222153,2205.4457269374966,33.922064303230684,0.8056850433349609,7236.940252780914
9,224.0,0.00013,0.1,20.526240232588567,2412.051518170129,35.773579947187514,0.7862787246704102,7955.015029191971
10,96.0,0.00733,0.3,19.364570025322664,1848.7219436020557,31.666774297612644,0.8097850680351257,6576.989218235016
