bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,160.0,0.00033,0.4,19.730357772282428,2202.008217073176,38.52676589305377,0.8025310635566711,8416.35637974739
2,64.0,0.00055,0.2,19.702950751360742,2296.273166746622,36.44320368852027,0.8030792474746704,5557.678957223892
3,224.0,0.00011,0.1,20.898076077482212,2513.4504003239717,40.09009831098063,0.7784654498100281,8281.475504875183
4,96.0,0.00733,0.4,19.33196060744317,2247.8450434807746,42.767309047431915,0.8104251623153687,6811.508956193924
5,192.0,0.00013,0.30000000000000004,19.844798046880808,2346.603102011648,32.386313219647306,0.8002337217330933,6877.168308973312
6,96.0,0.00023,0.2,19.566894037765838,2109.6225381355816,31.94737085643618,0.8057895302772522,7174.76035284996
7,192.0,0.00011,0.5,21.238746445728324,2983.495364333663,42.568201320241265,0.7711838483810425,7733.911586761475
8,192.0,9e-05,0.5,20.470075398405505,2445.4533278914782,43.730457921520106,0.7874467372894287,7297.9054479599
9,64.0,0.00019,0.30000000000000004,21.251380067778097,3010.1410494189836,44.04037803103472,0.7709115743637085,7095.859082221985
10,96.0,0.00029,0.5,19.673228489230056,2673.025715284011,37.484366391175215,0.8036729693412781,7240.584076166153
