bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,160.0,0.00297,0.1,19.55070359312749,2180.7861295568573,35.54832848451244,0.8061107993125916,4975.542876005173
2,96.0,0.00299,0.3,22.003967620964477,2837.634293558055,44.76114115796723,0.7543985843658447,3945.5973377227783
3,128.0,0.001,0.3,22.499369972733056,4550.874322036832,40.46487464816848,0.7432150840759277,4023.6588320732117
4,64.0,0.00099,0.3,20.066964766779552,3143.4380532797986,40.065120090028564,0.7957358360290527,3765.1476271152496
5,160.0,0.00252,0.1,22.14229205416886,3398.446790612147,38.81931687022975,0.7513010501861572,4632.216202735901
6,64.0,0.001,0.1,20.21022931934779,2155.7704391353845,41.159997919384836,0.7928087711334229,4561.855815172195
7,64.0,0.00036,0.4,20.571617261838654,2384.657216067515,43.25197430995548,0.7853327989578247,4459.272386789322
8,96.0,0.00252,0.4,20.79339107275885,2749.833163276665,42.457521248411304,0.7806793451309204,4038.1281225681305
9,96.0,0.00462,0.5,24.53706265728757,3321.555897351982,44.5113483945786,0.694596529006958,4142.377370595932
10,160.0,0.00099,0.4,18.86900547659524,2868.721817277824,31.038979021644653,0.8193961977958679,4149.484969854355
