bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,128.0,0.00722,0.2,20.197953768285075,2689.5625554770886,48.393861530689485,0.7930604219436646,2934.943732738495
2,256.0,0.00037,0.1,19.911092363833124,2530.533255735051,32.843312252237006,0.7988967895507812,3968.865484237671
3,128.0,0.00043,0.30000000000000004,20.94941650160721,2812.597136530426,41.307633874371454,0.7773755788803101,4173.466705083847
4,64.0,0.00633,0.2,19.451729524495775,1633.986961230399,42.53138538712838,0.8080689311027527,2782.637904882431
5,192.0,0.00114,0.30000000000000004,23.968625223762572,4142.848409760414,36.962056152127666,0.7085828185081482,2763.1408653259277
6,64.0,0.00676,0.1,20.383171081313087,1808.1680717896388,35.64262308304241,0.7892476916313171,2854.381791114807
7,96.0,0.00075,0.2,19.552635167470076,2509.34732763992,31.65478371980916,0.806072473526001,3270.6886076927185
8,128.0,0.00436,0.30000000000000004,19.864306374112573,2036.375428869685,43.888446891242936,0.7998407483100891,3979.795021057129
9,160.0,0.00387,0.4,21.810073848775993,2343.06329598869,44.42527377162306,0.7587078809738159,3548.9566519260406
10,32.0,0.00042,0.5,22.13362668926902,2808.978329328982,59.84111252671006,0.7514955997467041,2972.21005487442
