bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,128.0,0.0004,0.3,20.259546360913415,2910.930260989609,31.87856436643518,0.7917963862419128,5154.959415197372
2,96.0,0.0004,0.3,20.365602163079878,2586.265775134204,38.1408046086968,0.7896108627319336,5728.992170572281
3,128.0,0.0004,0.5,19.582595789663028,2291.6338605932333,32.472438966270914,0.8054777383804321,5312.3762357234955
4,64.0,0.00252,0.5,22.568256520887434,3703.12122251267,45.798356618090814,0.7416402101516724,5295.055314064026
5,160.0,0.0004,0.5,22.006034716978064,4061.210685671265,41.27517581089103,0.7543524503707886,6033.12984919548
6,64.0,0.00786,0.2,19.860538235503746,1985.213924327306,45.192133662716515,0.799916684627533,4446.424307346344
7,128.0,0.00786,0.2,18.624075847458176,1581.3676633493264,26.17548400281951,0.8240544199943542,4308.59961605072
8,224.0,0.00211,0.5,18.420470982597138,1903.0255483397584,33.69747164230474,0.8278803825378418,4947.118578910828
9,64.0,0.00699,0.5,22.43736126785105,2293.6688879404223,41.91286850022925,0.7446285486221313,4121.911227941513
10,64.0,0.0004,0.2,17.872973347194677,1700.9421354488293,28.025405903480838,0.837959885597229,4035.8913526535034
