bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,64.0,0.0006274729711975,0.3,20.068883147818198,3130.9498137014007,30.768259540271586,0.7956967353820801,3445.8453602790833
2,256.0,0.0006274729711975,0.5,19.676868874421356,2249.786445217847,34.44439376968299,0.8036003112792969,4656.962410926819
3,224.0,0.0011687603242853,0.4,20.109246005316653,2779.9477394546407,37.74510787297427,0.7948741316795349,4153.747351884842
4,64.0,0.000822650198854,0.5,19.599104786884162,2415.6967182060307,39.24838844154236,0.8051495552062988,3342.4327466487885
5,64.0,0.0032210403369148,0.2,21.455641296801904,2962.2841166189523,42.18990232987674,0.7664865851402283,4084.8332471847534
6,64.0,0.0006274729711975,0.2,20.819312094867968,2394.92012145136,47.54396476071771,0.7801321744918823,4118.77569270134
7,128.0,0.0011687603242853,0.1,20.38323321480335,2235.110728524747,37.34054874894862,0.7892463803291321,4707.086460828781
8,160.0,0.0083780361816257,0.4,20.98045165878563,2835.283453154546,46.42647937573576,0.7767155170440674,3521.742835044861
9,64.0,0.0083780361816257,0.3,20.282644826361867,1547.0381193241387,32.59149828413591,0.791321337223053,3369.877373456955
10,64.0,0.0006274729711975,0.5,18.378249938467516,1731.560044305419,34.82097907435052,0.828668475151062,4141.735798120499
