bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,224.0,8.335061877912811e-05,0.4,21.298243433199925,2661.0266294513176,49.63161484023482,0.7699000835418701,3836.702547311783
2,64.0,0.009985455589823177,0.5,25.952665229596963,5177.924443948827,49.423620361346295,0.6583410501480103,3499.9951171875
3,64.0,0.001168760324285303,0.4,21.871170144646896,3185.5682131391086,50.7740267511972,0.7573541402816772,3770.6936666965485
4,128.0,0.0006274729711975861,0.5,19.5515355592498,2149.418982927395,41.957195791720345,0.8060942888259888,3543.1852424144745
5,64.0,0.0008226501988540722,0.2,21.730287936848868,2383.1631935142414,39.651283659565294,0.7604700326919556,3738.7520229816437
6,96.0,0.004838716575821734,0.30000000000000004,20.38511060492437,1683.2439261705981,41.07706989645603,0.7892075777053833,3668.3829135894775
7,224.0,0.008378036181625744,0.30000000000000004,23.232324587989872,2743.4291996375155,66.42804683763363,0.7262121438980103,4436.140397310257
8,256.0,0.00035268488429786375,0.2,20.17569616693096,2541.948942178355,35.11067354130862,0.793516218662262,4250.072065353394
9,64.0,0.00569467727038033,0.1,20.11951442853042,1819.5122275605313,38.732965215914625,0.7946646213531494,3260.719574213028
10,160.0,0.003221040336914879,0.1,20.2580294290352,2553.52486341672,40.267201452277114,0.7918275594711304,4210.79373216629
