bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,256.0,0.0081,0.5,24.845129263315034,4921.6061999584435,74.32773217750453,0.6868795156478882,1140.3184802532196
2,256.0,0.0081,0.4,30.454498728971583,7846.036002952731,81.91502900258479,0.5295301675796509,1011.8198595046997
3,256.0,0.0081,0.3,23.560442369424692,3748.9257597530595,68.76399831796542,0.7184239625930786,902.7563331127167
4,256.0,0.0081,0.2,24.11519849138816,4387.071440320061,65.88977132726099,0.705007791519165,896.1553916931152
5,256.0,0.0063,0.5,22.31826106685682,3956.7420718045087,53.77967924703832,0.7473323941230774,773.0140197277069
6,256.0,0.0063,0.4,25.76359930817134,3942.832523149746,57.74177059885375,0.6633008718490601,784.2301785945892
7,256.0,0.0063,0.3,24.984982871778694,3570.253102862893,64.45867400993949,0.6833445429801941,694.5638525485992
8,256.0,0.0063,0.2,22.575057819082545,3981.448543717236,40.828935292062226,0.741484522819519,725.6364045143127
9,256.0,0.0043,0.5,27.489150892171804,10772.055862728908,52.65549824862311,0.6166888475418091,669.2733721733093
10,256.0,0.0043,0.4,20.671965312666195,2762.953655328731,38.20312100178392,0.7832334041595459,691.1533012390137
11,256.0,0.0043,0.3,23.889716696894165,4853.015598584849,46.613856678656504,0.7104984521865845,673.1945602893829
12,256.0,0.0043,0.2,22.26203423016398,5294.094374208241,41.31107378721012,0.748603880405426,588.3931229114532
13,256.0,0.0033,0.5,21.887078414080722,4041.1178456879534,45.47067400207104,0.7570010423660278,548.7744870185852
14,256.0,0.0033,0.4,22.61865549628674,3131.366610756123,45.45983941324929,0.7404850125312805,539.1561949253082
15,256.0,0.0033,0.3,21.464237010676342,2727.2648006670343,41.176074645391274,0.7662994265556335,554.6600897312164
16,256.0,0.0033,0.2,21.466348808103493,3234.9056849691815,43.39996598833164,0.7662534117698669,629.7722747325897
17,256.0,0.0031,0.5,25.602645303229107,5535.12603126456,47.73031430579283,0.6674947142601013,586.651083946228
18,256.0,0.0031,0.4,28.355726371857937,549438.683182574,44.29674809783928,0.5921406745910645,543.5858297348022
19,256.0,0.0031,0.3,25.217560853772756,5569.663703074488,47.563282006830256,0.6774218082427979,560.2352433204651
20,256.0,0.0031,0.2,21.109552966916564,2424.0994825842945,40.34123625908425,0.7739591598510742,613.0218653678894
21,256.0,0.0026,0.5,22.409080048604768,4999.884130697695,41.13069194578838,0.7452719211578369,552.321918964386
22,256.0,0.0026,0.4,26.54811657961615,11883.927171515094,48.9351376269231,0.6424832940101624,553.1662814617157
23,256.0,0.0026,0.3,21.86445809749786,2618.924594096638,42.38423740724214,0.7575030326843262,621.7988729476929
24,256.0,0.0026,0.2,21.07076836938751,2978.528905559811,38.74521898687644,0.7747889757156372,615.815093755722
25,256.0,0.0022,0.5,22.007789467339926,3716.6678290139475,40.36254924298925,0.7543132305145264,578.7750544548035
26,256.0,0.0022,0.4,23.80963526256004,5945.398194213658,43.448888309274906,0.7124361395835876,585.9621913433075
27,256.0,0.0022,0.3,21.749709384488018,3797.053613200594,39.54210353246661,0.7600417137145996,602.8586688041687
28,256.0,0.0022,0.2,21.78017692401749,3464.2445168860827,44.457039460764214,0.7593689560890198,550.6247193813324
29,256.0,0.0005,0.5,20.40453496367572,2638.234822508787,41.911282841783795,0.7888056635856628,560.1538887023926
30,256.0,0.0005,0.4,20.45355890424442,2588.7003942307356,42.56706830323544,0.7877895832061768,612.5254759788513
31,256.0,0.0005,0.3,20.563668182842648,2942.643650045243,41.56142779721826,0.7854986786842346,634.1375625133514
32,256.0,0.0005,0.2,21.678204912868456,3195.3588100600805,43.27067497773095,0.7616168856620789,608.5694615840912
33,256.0,0.0002,0.5,21.226152622241866,3197.6155571925447,42.19057447849711,0.7714551687240601,646.7684679031372
34,256.0,0.0002,0.4,20.942797396922273,3433.2384337163276,37.843190431939554,0.7775163054466248,653.5002834796906
35,256.0,0.0002,0.3,20.943083044536312,2895.9328024086403,41.31513284006642,0.7775101661682129,647.3689484596252
36,256.0,0.0002,0.2,20.302775478113258,2824.3124191852057,36.04297016584027,0.7909069061279297,600.9334518909454
37,192.0,0.0081,0.5,29.892696355086464,15305.848859874106,75.5222600985555,0.5467277765274048,425.6098713874817
38,192.0,0.0081,0.4,23.54784724197145,4921.194846955088,61.412104259119126,0.7187248468399048,394.9578814506531
39,192.0,0.0081,0.3,22.484293101097194,3369.1951967712985,58.07297867593667,0.7435590624809265,403.58375310897827
40,192.0,0.0081,0.2,21.526179775669682,3571.8759719435106,47.06663933889662,0.7649486064910889,458.4767289161682
41,192.0,0.0063,0.5,23.520930743380564,3426.4793032787175,41.55493571332504,0.7193675637245178,430.3390417098999
42,192.0,0.0063,0.4,22.44101008001905,5773.292076184198,46.36062077635952,0.7445454597473145,391.1653506755829
43,192.0,0.0063,0.3,21.152833211352604,3585.8508202332323,40.31080370875358,0.7730312943458557,383.28382658958435
44,192.0,0.0063,0.2,21.96514266796701,3206.5698313040903,46.45579227117254,0.7552645206451416,396.0536742210388
45,192.0,0.0043,0.5,21.039230080429217,3045.2513585611664,47.71576219278531,0.7754626870155334,461.59549474716187
46,192.0,0.0043,0.4,22.64941385870147,3856.4767419308987,52.21889511813003,0.7397787570953369,392.5011999607086
47,192.0,0.0043,0.3,24.771560946290915,4951.583776973106,46.6573379922985,0.6887311935424805,450.80342173576355
48,192.0,0.0043,0.2,22.66257845505053,3945.1434391002117,40.27354865540047,0.7394761443138123,475.72314739227295
