bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,160.0,0.00436,0.5,23.544677431891195,3767.327785834581,52.218311634601974,0.7188006639480591,278.6130917072296
2,160.0,0.00436,0.3,20.546847678842568,3016.3385356696226,45.86422687125711,0.785849392414093,294.0311028957367
3,160.0,0.00436,0.2,21.54746306240502,3237.521737735478,50.05968766049501,0.7644835710525513,291.6915204524994
4,160.0,0.00436,0.1,24.58324829064178,4597.365080297734,51.576138784931715,0.6934456825256348,291.75476360321045
5,160.0,0.00387,0.5,23.549750460909035,3560.9891091829854,54.857411774720454,0.7186794281005859,303.2068703174591
6,160.0,0.00387,0.3,22.24253252203172,2867.031158984776,44.52370947434047,0.7490441799163818,291.2035422325134
7,160.0,0.00387,0.2,22.668699047167454,3322.2302087617472,42.64113680836647,0.7393354177474976,290.27352714538574
8,160.0,0.00387,0.1,23.530466424583704,4387.624982003539,52.3284847983707,0.7191399335861206,340.3931214809418
9,160.0,0.00043,0.5,21.06899138203213,2816.434701801497,45.78422784739336,0.7748270034790039,328.6952681541443
10,160.0,0.00043,0.3,21.699501209958804,3394.285510570474,41.13248478968321,0.7611482739448547,319.10474014282227
11,160.0,0.00043,0.2,21.587798603446718,3235.0946440092102,45.521873236274224,0.7636010050773621,314.4356665611267
12,160.0,0.00043,0.1,21.68697009193714,3098.984887013328,45.280345131674586,0.7614240646362305,310.174277305603
13,160.0,0.00037,0.5,22.284075855181168,3375.4726723006142,47.7585106623856,0.7481057643890381,309.39260482788086
14,160.0,0.00037,0.3,20.83353509435332,2788.7753110297235,39.008083181491656,0.7798317074775696,319.3744447231293
15,160.0,0.00037,0.2,21.30140297323319,3307.792687946221,39.854684872183945,0.7698318362236023,309.15582633018494
16,160.0,0.00037,0.1,22.03632982084264,3139.656776020285,46.93506351310119,0.753675639629364,308.0186810493469
17,128.0,0.00436,0.5,22.52224479197879,3278.3905570529773,52.37934643745311,0.7426926493644714,245.74892950057983
18,128.0,0.00436,0.3,20.01445450531053,2451.9602092557316,43.48358658441913,0.7968034148216248,243.89952969551086
19,128.0,0.00436,0.2,21.830394813951198,3745.319350700008,48.3891309595871,0.758258044719696,243.76922869682312
20,128.0,0.00436,0.1,23.049562014236493,3469.7736257178394,47.31408658754178,0.7305028438568115,243.36887669563293
21,128.0,0.00387,0.5,23.638422569442888,4102.264178946052,50.6097541760053,0.7165569067001343,242.54940724372864
22,128.0,0.00387,0.3,21.865136933101027,3826.1031496564683,46.92193168651737,0.7574880123138428,242.16304969787598
23,128.0,0.00387,0.2,20.380005570802133,2761.7102589401266,42.4215378599953,0.7893131375312805,241.86183714866638
24,128.0,0.00387,0.1,22.085496480434905,3438.2364492867,43.03840369569947,0.7525752186775208,239.97107648849487
25,128.0,0.00043,0.5,21.740639576088476,3294.1740905264505,47.975134016497165,0.7602418065071106,241.80346965789795
26,128.0,0.00043,0.3,22.820215596191794,3963.8220481778376,50.18406221105861,0.7358392477035522,242.39517784118652
27,128.0,0.00043,0.2,21.770151508806336,3224.1349180113966,45.25795223032391,0.7595903873443604,205.54580950737
28,128.0,0.00043,0.1,21.435240126836483,3292.6013369673765,41.18586284691377,0.7669304609298706,200.96913027763367
29,128.0,0.00037,0.5,20.911813356539273,2736.1719636810676,44.36370255517356,0.7781740427017212,201.008633852005
30,128.0,0.00037,0.3,21.74785689567858,3159.4468243910533,46.60974232858627,0.7600825428962708,200.6982958316803
31,128.0,0.00037,0.2,21.63379952535961,3034.2782299300443,43.6865482030746,0.7625924944877625,200.67332410812378
32,128.0,0.00037,0.1,21.667368235301776,3134.9572431855213,42.87427942230229,0.7618551254272461,201.46664547920227
33,96.0,0.00436,0.5,22.654442048626226,2909.8571224686507,51.48426499618953,0.7396631240844727,187.47016620635986
34,96.0,0.00436,0.3,23.719332158412275,6029.855885836246,51.912631768488794,0.7146132588386536,181.1354832649231
35,96.0,0.00436,0.2,20.13564088993769,2487.345636285685,42.07537427904937,0.7943352460861206,179.6180226802826
36,96.0,0.00436,0.1,21.575257659598048,3241.6262493192444,50.93471317493419,0.7638756036758423,179.7688558101654
37,96.0,0.00387,0.5,21.399827203521877,2846.789897327162,47.913787424157015,0.7676998972892761,186.1024305820465
38,96.0,0.00387,0.3,22.959615394639474,3336.611499085202,46.84671873564281,0.732602059841156,178.83279395103455
39,96.0,0.00387,0.2,22.535665134632552,3226.3610032245547,46.617615682782265,0.7423858642578125,177.8987958431244
40,96.0,0.00387,0.1,23.51249740733778,5601.529226914662,47.87140115332606,0.7195687294006348,182.5887484550476
41,96.0,0.00043,0.5,21.801588564665227,3156.210752726276,50.73754019654713,0.7588956356048584,179.81870007514954
42,96.0,0.00043,0.3,22.08136349955094,3333.2629863873476,48.201627534541835,0.7526677846908569,179.8221402168274
43,96.0,0.00043,0.2,22.039648416155654,3287.364408035868,48.17400082201477,0.7536014318466187,179.39458751678467
44,96.0,0.00043,0.1,21.575229880008195,3046.5336558803174,43.2203047013242,0.76387619972229,178.06050610542297
45,96.0,0.00037,0.5,21.301535917333087,2979.1163689249024,48.08634134044414,0.7698289752006531,180.11785912513733
46,96.0,0.00037,0.3,21.664643236901522,3162.4648502012965,46.77318829492963,0.7619150280952454,178.64558625221252
47,96.0,0.00037,0.2,21.80795282274654,3397.841471914305,47.47245866273527,0.7587547898292542,179.30841040611267
48,96.0,0.00037,0.1,20.92402774628249,2934.370291155722,41.62186565601675,0.7779148817062378,179.14561486244202
49,32.0,0.00436,0.5,21.281031190576538,2529.517319911888,57.38127396869736,0.7702718377113342,138.99296307563782
50,32.0,0.00436,0.3,24.79553454154853,4827.945864470894,51.536992777516865,0.6881284117698669,132.57876753807068
51,32.0,0.00436,0.2,29.416614320118235,116627.7805185761,52.8488755151859,0.5610508322715759,128.89218878746033
52,32.0,0.00436,0.1,23.350943735226476,3593.5532382462725,49.45684923262939,0.7234091758728027,126.11683869361877
53,32.0,0.00387,0.5,23.748886260627216,3670.620752669936,68.80609327208946,0.7139016389846802,122.12494730949402
54,32.0,0.00387,0.3,20.85845336725034,2655.202563484162,48.9952762904669,0.7793047428131104,117.23578763008118
55,32.0,0.00387,0.2,21.824875865251638,2683.607969995701,45.5059458523608,0.7583802342414856,115.42374539375305
56,32.0,0.00387,0.1,21.590714829543117,2595.70320008783,43.14363260777901,0.7635371685028076,112.56275486946106
57,32.0,0.00043,0.5,22.117786493741217,3159.608869998885,55.14813999685928,0.7518512010574341,112.94514489173889
58,32.0,0.00043,0.3,23.75396818675922,4915.719185184997,56.35965437122707,0.7137792110443115,112.07285785675049
59,32.0,0.00043,0.2,22.673167393381295,4393.9260952905515,50.82215054166833,0.7392326593399048,118.56815505027771
60,32.0,0.00043,0.1,22.09192287396079,3277.7388039051393,51.98161213992536,0.7524312138557434,120.78236198425293
61,32.0,0.00037,0.5,23.130389650164577,5409.578535422216,58.84939674789755,0.7286094427108765,120.75484919548035
62,32.0,0.00037,0.3,21.796912703899213,2965.016266059241,54.17669581913189,0.7589989900588989,109.68752408027649
63,32.0,0.00037,0.2,22.64230222781706,3857.3851596218447,48.81437223307373,0.7399421334266663,107.60043430328369
64,32.0,0.00037,0.1,21.075637161207357,2894.5018319113074,45.691386193804234,0.7746849060058594,106.98604202270508
