bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,256.0,0.00043,0.1,17.841188691228385,1514.0010405516573,27.778676426706063,0.838535726070404,3072.1087670326233
2,256.0,0.00075,0.3,22.078875551202074,2527.75956148364,37.36344581502603,0.7527235746383667,3175.677857398987
3,128.0,0.00043,0.3,19.50244907747566,2288.9488653701383,30.702476897904603,0.8070666790008545,2466.5513083934784
4,96.0,0.00075,0.4,20.622942457739498,2639.3390893354454,44.79546969563311,0.7842602729797363,2458.3586847782135
5,128.0,0.00037,0.3,19.36844568447406,2094.4236656497164,32.03879745342608,0.8097089529037476,3154.1090891361237
6,160.0,0.00043,0.5,19.847239174052174,2034.9103283778813,34.28472952038093,0.8001845479011536,2196.231438398361
7,96.0,0.00043,0.5,20.10688449758487,2102.703409651034,37.773339629928145,0.7949222922325134,2416.2487936019897
8,32.0,0.00436,0.2,20.05703689491312,2225.523343612889,43.32601350678622,0.7959378957748413,1834.6832811832428
9,96.0,0.00387,0.1,19.21318993505422,2028.354108453845,34.72348396148387,0.8127474188804626,2403.6389660835266
10,256.0,0.00075,0.1,22.95425908745273,3940.291674850816,46.73275247077605,0.7327268123626709,3666.9114632606506
