bootstrap_series,hidden_size,learning_rate,dropout,rmse,s_score,mape,r2,training_time
1,256.0,0.007491590018915,0.5,22.61394775452803,3427.0185481306144,50.69248815522879,0.7405930757522583,1187.5386898517609
2,256.0,0.007491590018915,0.4,22.16764750772352,4326.109614162752,57.97665867364468,0.7507311105728149,1165.8003590106964
3,256.0,0.007491590018915,0.3,21.785388663441335,3089.7586348025407,59.68886768752553,0.759253740310669,1006.6277215480804
4,256.0,0.007491590018915,0.2,25.048379703658075,5990.031018756375,54.28887231569504,0.6817355155944824,1006.9129707813263
5,256.0,0.007491590018915,0.1,23.829240813312282,5277.396201006261,47.82496718605353,0.7119623422622681,1133.0792348384857
6,256.0,0.005279386832276,0.5,20.749750617051742,3013.7721023547992,44.615190830785316,0.7815989851951599,1030.3406257629395
7,256.0,0.005279386832276,0.4,22.98965350526023,3863.1384718625877,41.091343873015404,0.7319018840789795,1021.1357293128967
8,256.0,0.005279386832276,0.3,21.37944615316616,2863.5318675969756,42.702852849369506,0.7681421637535095,1040.86097574234
9,256.0,0.005279386832276,0.2,20.570598914214358,2962.6902766045205,33.67540469034442,0.7853540182113647,1063.7074100971222
10,256.0,0.005279386832276,0.1,17.916165984599736,1726.8098376087605,30.25192340410381,0.8371757864952087,1116.925942659378
11,256.0,0.005051456388511,0.5,20.063923123267504,2061.059966873182,32.7896642076828,0.7957977056503296,1074.9382696151733
12,256.0,0.005051456388511,0.4,21.621990575402737,3323.1549132312484,34.911906672629186,0.7628515958786011,1128.4890117645264
13,256.0,0.005051456388511,0.3,21.11984400814229,3743.2765718591327,41.574550046433615,0.77373868227005,1147.4761488437653
14,256.0,0.005051456388511,0.2,18.81816297955319,2166.8500282685677,36.96558282745735,0.8203681707382202,1027.8505873680115
15,256.0,0.005051456388511,0.1,18.32395019350834,1679.205731952953,33.35974396338855,0.8296794295310974,1122.7998716831207
16,256.0,0.0025389774716845,0.5,24.819898303605747,5429.594834399934,38.43940435294078,0.6875152587890625,1027.1706082820892
17,256.0,0.0025389774716845,0.4,21.774698053809622,3516.9092866202877,34.646107823218856,0.7594900131225586,1009.7367808818817
18,256.0,0.0025389774716845,0.3,19.131208154293116,1854.2521933356359,35.24845294334732,0.8143420219421387,1009.6494488716125
19,256.0,0.0025389774716845,0.2,24.80690590402857,6869.901333867128,32.62901451462388,0.6878423094749451,1008.7283000946045
20,256.0,0.0025389774716845,0.1,20.853830828016466,3069.383628458543,29.876666423915584,0.779402494430542,1008.3098359107971
21,256.0,0.0025248823876225,0.5,20.16205481858482,2921.705448682317,30.66885905553289,0.7937953472137451,1000.1384766101837
22,256.0,0.0025248823876225,0.4,19.09969456926205,2089.8949482504568,31.506738925381907,0.8149531483650208,995.0768854618073
23,256.0,0.0025248823876225,0.3,20.36813816112614,2899.636001443505,30.543694952283296,0.789558470249176,1001.110509634018
24,256.0,0.0025248823876225,0.2,23.125509357937442,4771.444104224771,29.644937553343237,0.72872394323349,1017.5249710083008
25,256.0,0.0025248823876225,0.1,23.00611044010959,6411.2056544375755,36.02586172863333,0.7315179109573364,1022.2944622039795
26,256.0,0.0023909559366749,0.5,21.436022406060133,27876.13804755937,29.974870757083334,0.7669134140014648,1003.8465340137482
27,256.0,0.0023909559366749,0.4,19.87565015582448,2090.9645296824556,32.63594842533437,0.7996120452880859,1042.965460062027
